Book,Line,Hero,Epithet,Lemma,Samforekomst,Enjambement,Speaker,Addressee,Case,Number,Gender,Tense,Voice,Mood,POS,Source,Confidence,Greek
16,828,HEKTOR,Πριαμίδης,Πριαμίδης,,,,,Nom,Sing,Masc,,,,NOUN,whitelist,high,"ὣς πολέας πεφνόντα Μενοιτίου ἄλκιμον υἱὸν Ἕκτωρ Πριαμίδης σχεδὸν ἔγχεϊ θυμὸν ἀπηύρα , καί οἱ ἐπευχόμενος ἔπεα πτερόεντα προσηύδα ·"
16,840,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,Achilles,Patroclus,Gen,Sing,Masc,,,,ADJ,whitelist,high,μή μοι πρὶν ἰέναι Πατρόκλεες ἱπποκέλευθε νῆας ἔπι γλαφυρὰς πρὶν Ἕκτορος ἀνδροφόνοιο αἱματόεντα χιτῶνα περὶ στήθεσσι δαΐξαι .
16,858,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὸν καὶ τεθνηῶτα προσηύδα φαίδιμος Ἕκτωρ ·
17,72,HEKTOR,ἀτάλαντον,ἀτάλαντος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἔνθά κε ῥεῖα φέροι κλυτὰ τεύχεα Πανθοΐδαο Ἀτρεΐδης , εἰ μή οἱ ἀγάσσατο Φοῖβος Ἀπόλλων , ὅς ῥά οἱ Ἕκτοῤ ἐπῶρσε θοῷ ἀτάλαντον Ἄρηϊ ἀνέρι εἰσάμενος Κικόνων ἡγήτορι Μέντῃ · [1]"
17,96,HEKTOR,κορυθαίολος,κορυθαίολος,,,Menelaus,Menelaus,Nom,Sing,Masc,,,,ADJ,whitelist,high,Τρῶας δ̓ ἐνθάδε πάντας ἄγει κορυθαίολος Ἕκτωρ .
17,122,HEKTOR,κορυθαίολος,κορυθαίολος,,,Menelaus,Aias (son of Telamon),Nom,Sing,Masc,,,,ADJ,whitelist,high,ἀτὰρ τά γε τεύχἐ ἔχει κορυθαίολος Ἕκτωρ .
17,142,HEKTOR,ἄριστε,ἄριστος,,,Glaucus (Lycian),Hector,Voc,Sing,Masc,,,,ADJ,whitelist,high,Ἕκτορ εἶδος ἄριστε μάχης ἄρα πολλὸν ἐδεύεο .
17,169,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὸν δ̓ ἄῤ ὑπόδρα ἰδὼν προσέφη κορυθαίολος Ἕκτωρ ·
17,188,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,ὣς ἄρα φωνήσας ἀπέβη κορυθαίολος Ἕκτωρ δηΐου ἐκ πολέμοιο ·
17,316,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,χώρησαν δ̓ ὑπό τε πρόμαχοι καὶ φαίδιμος Ἕκτωρ ·
17,428,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,"ἵπποι δ̓ Αἰακίδαο μάχης ἀπάνευθεν ἐόντες κλαῖον , ἐπεὶ δὴ πρῶτα πυθέσθην ἡνιόχοιο ἐν κονίῃσι πεσόντος ὑφ̓ Ἕκτορος ἀνδροφόνοιο ."
17,449,HEKTOR,Πριαμίδης,Πριαμίδης,,,Zeus,Balios; Xanthos,Nom,Sing,Masc,,,,NOUN,whitelist,high,ἀλλ̓ οὐ μὰν ὑμῖν γε καὶ ἅρμασι δαιδαλέοισιν Ἕκτωρ Πριαμίδης ἐποχήσεται ·
17,483,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"νόησε δὲ φαίδιμος Ἕκτωρ , αὐτίκα δ̓ Αἰνείαν προσεφώνεεν ἐγγὺς ἐόντα ·"
17,503,HEKTOR,Πριαμίδην,Πριαμίδης,,,Automedon,Alcimedon,Acc,Sing,Masc,,,,NOUN,whitelist,high,"οὐ γὰρ ἔγωγε Ἕκτορα Πριαμίδην μένεος σχήσεσθαι ὀΐω , πρίν γ̓ ἐπ̓ Ἀχιλλῆος καλλίτριχε βήμεναι ἵππω νῶϊ κατακτείναντα , φοβῆσαί τε στίχας ἀνδρῶν Ἀργείων , ἤ κ̓ αὐτὸς ἐνὶ πρώτοισιν ἁλοίη ."
17,616,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,"καὶ τῷ μὲν φάος ἦλθεν , ἄμυνε δὲ νηλεὲς ἦμαρ , αὐτὸς δ̓ ὤλεσε θυμὸν ὑφ̓ Ἕκτορος ἀνδροφόνοιο ·"
17,638,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,Aias (son of Telamon),Greeks; Zeus,Gen,Sing,Masc,,,,ADJ,whitelist,high,"ἀλλ̓ ἄγετ̓ αὐτοί περ φραζώμεθα μῆτιν ἀρίστην , ἠμὲν ὅπως τὸν νεκρὸν ἐρύσσομεν , ἠδὲ καὶ αὐτοὶ χάρμα φίλοις ἑτάροισι γενώμεθα νοστήσαντες , οἵ που δεῦῤ ὁρόωντες ἀκηχέδατ̓ , οὐ δ̓ ἔτι φασὶν Ἕκτορος ἀνδροφόνοιο μένος καὶ χεῖρας ἀάπτους σχήσεσθ̓ , ἀλλ̓ ἐν νηυσὶ μελαίνῃσιν πεσέεσθαι ."
17,693,HEKTOR,κορυθαίολος,κορυθαίολος,,,Menelaus,Antilochus,Nom,Sing,Masc,,,,ADJ,whitelist,high,ἀτὰρ τά γε τεύχἐ ἔχει κορυθαίολος Ἕκτωρ .
17,710,HEKTOR,δίῳ,δῖος,,,Menelaus,Aias (son of Oileus); Aias (son of Telamon),Dat,Sing,Masc,,,,ADJ,whitelist,high,οὐ δέ μιν οἴω νῦν ἰέναι μάλα περ κεχολωμένον Ἕκτορι δίῳ ·
17,719,HEKTOR,δίῳ,δῖος,,,Aias (son of Telamon),Menelaus,Dat,Sing,Masc,,,,ADJ,whitelist,high,"αὐτὰρ ὄπισθε νῶϊ μαχησόμεθα Τρωσίν τε καὶ Ἕκτορι δίῳ ἶσον θυμὸν ἔχοντες ὁμώνυμοι , οἳ τὸ πάρος περ μίμνομεν ὀξὺν Ἄρηα παῤ ἀλλήλοισι μένοντες ."
17,754,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"οἳ δ̓ ἅμ̓ ἕποντο , δύω δ̓ ἐν τοῖσι μάλιστα Αἰνείας τ̓ Ἀγχισιάδης καὶ φαίδιμος Ἕκτωρ . [1] [0]"
18,21,HEKTOR,κορυθαίολος,κορυθαίολος,,,Antilochus,Achilles,Nom,Sing,Masc,,,,ADJ,whitelist,high,ἀτὰρ τά γε τεύχἐ ἔχει κορυθαίολος Ἕκτωρ .
18,103,HEKTOR,δίῳ,δῖος,,,Achilles,Thetis,Dat,Sing,Masc,,,,ADJ,whitelist,high,"νῦν δ̓ ἐπεὶ οὐ νέομαί γε φίλην ἐς πατρίδα γαῖαν , οὐ δέ τι Πατρόκλῳ γενόμην φάος οὐ δ̓ ἑτάροισι τοῖς ἄλλοις , οἳ δὴ πολέες δάμεν Ἕκτορι δίῳ , ἀλλ̓ ἧμαι παρὰ νηυσὶν ἐτώσιον ἄχθος ἀρούρης , τοῖος ἐὼν οἷος οὔ τις Ἀχαιῶν χαλκοχιτώνων ἐν πολέμῳ · [0] [1]"
18,131,HEKTOR,κορυθαίολος,κορυθαίολος,,,Thetis,Achilles,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὰ μὲν κορυθαίολος Ἕκτωρ αὐτὸς ἔχων ὤμοισιν ἀγάλλεται ·
18,149,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,αὐτὰρ Ἀχαιοὶ θεσπεσίῳ ἀλαλητῷ ὑφ̓ Ἕκτορος ἀνδροφόνοιο φεύγοντες νῆάς τε καὶ Ἑλλήσποντον ἵκοντο .
18,154,HEKTOR,Πριάμοιο πάϊς,παῖς Πριάμοιο,,,,,Nom,Sing,Masc,,,,NOUN+NOUN,whitelist,high,αὖτις γὰρ δὴ τόν γε κίχον λαός τε καὶ ἵπποι Ἕκτωρ τε Πριάμοιο πάϊς φλογὶ εἴκελος ἀλκήν . [0]
18,155,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"τρὶς μέν μιν μετόπισθε ποδῶν λάβε φαίδιμος Ἕκτωρ ἑλκέμεναι μεμαώς , μέγα δὲ Τρώεσσιν ὁμόκλα ·"
18,164,HEKTOR,Πριαμίδην,Πριαμίδης,,,,,Acc,Sing,Masc,,,,NOUN,whitelist,high,"ὡς δ̓ ἀπὸ σώματος οὔ τι λέοντ̓ αἴθωνα δύνανται ποιμένες ἄγραυλοι μέγα πεινάοντα δίεσθαι , ὥς ῥα τὸν οὐκ ἐδύναντο δύω Αἴαντε κορυστὰ Ἕκτορα Πριαμίδην ἀπὸ νεκροῦ δειδίξασθαι . [0]"
18,175,HEKTOR,φαίδιμος,φαίδιμος,,,Iris,Achilles,Nom,Sing,Masc,,,,ADJ,whitelist,high,μάλιστα δὲ φαίδιμος Ἕκτωρ ἑλκέμεναι μέμονεν ·
18,284,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὸν δ̓ ἄῤ ὑπόδρα ἰδὼν προσέφη κορυθαίολος Ἕκτωρ ·
19,134,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,Agamemnon,Greeks,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,"ὣς καὶ ἐγών , ὅτε δ̓ αὖτε μέγας κορυθαίολος Ἕκτωρ Ἀργείους ὀλέκεσκεν ἐπὶ πρυμνῇσι νέεσσιν , οὐ δυνάμην λελαθέσθ̓ Ἄτης ᾗ πρῶτον ἀάσθην ."
19,204,HEKTOR,Πριαμίδης,Πριαμίδης,,,Achilles,Agamemnon,Nom,Sing,Masc,,,,NOUN,whitelist,high,"νῦν δ̓ οἳ μὲν κέαται δεδαϊγμένοι , οὓς ἐδάμασσεν Ἕκτωρ Πριαμίδης , ὅτε οἱ Ζεὺς κῦδος ἔδωκεν , ὑμεῖς δ̓ ἐς βρωτὺν ὀτρύνετον ·"
20,77,HEKTOR,Πριαμίδεω,Πριαμίδης,,,,,Gen,Sing,Masc,,,,NOUN,whitelist,high,αὐτὰρ Ἀχιλλεὺς Ἕκτορος ἄντα μάλιστα λιλαίετο δῦναι ὅμιλον Πριαμίδεω ·
20,240,HEKTOR,δῖον,δῖος,,,Aeneas,Achilles,Acc,Sing,Masc,,,,ADJ,whitelist,high,"αὐτὰρ ἔμ̓ Ἀγχίσης , Πρίαμος δ̓ ἔτεχ̓ Ἕκτορα δῖον . [0]"
20,364,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"Τρώεσσι δὲ φαίδιμος Ἕκτωρ κέκλεθ̓ ὁμοκλήσας , φάτο δ̓ ἴμεναι ἄντ̓ Ἀχιλῆος ·"
20,428,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἦ , καὶ ὑπόδρα ἰδὼν προσεφώνεεν Ἕκτορα δῖον ·"
20,430,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὸν δ̓ οὐ ταρβήσας προσέφη κορυθαίολος Ἕκτωρ ·
20,440,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,"τὸ δ̓ ἂψ ἵκεθ̓ Ἕκτορα δῖον , αὐτοῦ δὲ προπάροιθε ποδῶν πέσεν ."
21,5,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"ἀλλ̓ ὅτε δὴ πόρον ἷξον ἐϋρρεῖος ποταμοῖο Ξάνθου δινήεντος , ὃν ἀθάνατος τέκετο Ζεύς , ἔνθα διατμήξας τοὺς μὲν πεδίον δὲ δίωκε πρὸς πόλιν , ᾗ περ Ἀχαιοὶ ἀτυζόμενοι φοβέοντο ἤματι τῷ προτέρῳ , ὅτε μαίνετο φαίδιμος Ἕκτωρ ·"
22,161,HEKTOR,ἱπποδάμοιο,ἱππόδαμος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,"πρόσθε μὲν ἐσθλὸς ἔφευγε , δίωκε δέ μιν μέγ̓ ἀμείνων καρπαλίμως , ἐπεὶ οὐχ ἱερήϊον οὐ δὲ βοείην ἀρνύσθην , ἅ τε ποσσὶν ἀέθλια γίγνεται ἀνδρῶν , ἀλλὰ περὶ ψυχῆς θέον Ἕκτορος ἱπποδάμοιο ."
22,211,HEKTOR,ἱπποδάμοιο,ἱππόδαμος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,"ἀλλ̓ ὅτε δὴ τὸ τέταρτον ἐπὶ κρουνοὺς ἀφίκοντο , καὶ τότε δὴ χρύσεια πατὴρ ἐτίταινε τάλαντα , ἐν δ̓ ἐτίθει δύο κῆρε τανηλεγέος θανάτοιο , τὴν μὲν Ἀχιλλῆος , τὴν δ̓ Ἕκτορος ἱπποδάμοιο , ἕλκε δὲ μέσσα λαβών ·"
22,226,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἣ δ̓ ἄρα τὸν μὲν ἔλειπε , κιχήσατο δ̓ Ἕκτορα δῖον Δηϊφόβῳ ἐϊκυῖα δέμας καὶ ἀτειρέα φωνήν ·"
22,232,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,τὴν δ̓ αὖτε προσέειπε μέγας κορυθαίολος Ἕκτωρ ·
22,249,HEKTOR,μέγας κορυθαίολος,μέγας κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ+ADJ,whitelist,high,"οἳ δ̓ ὅτε δὴ σχεδὸν ἦσαν ἐπ̓ ἀλλήλοισιν ἰόντες , τὸν πρότερος προσέειπε μέγας κορυθαίολος Ἕκτωρ ·"
22,261,HEKTOR,ἄλαστε,ἄλαστος,,,Achilles,Hector,Voc,Sing,Masc,,,,ADJ,whitelist,high,Ἕκτορ μή μοι ἄλαστε συνημοσύνας ἀγόρευε ·
22,274,HEKTOR,φαίδιμος,φαίδιμος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,καὶ τὸ μὲν ἄντα ἰδὼν ἠλεύατο φαίδιμος Ἕκτωρ ·
22,277,HEKTOR,ποιμένα λαῶν,ποιμὴν λαῶν,,,,,Acc,Sing,Masc,,,,NOUN+NOUN,whitelist,high,"ἀνὰ δ̓ ἥρπασε Παλλὰς Ἀθήνη , ἂψ δ̓ Ἀχιλῆϊ δίδου , λάθε δ̓ Ἕκτορα ποιμένα λαῶν ."
22,320,HEKTOR,δίῳ,δῖος,,,,,Dat,Sing,Masc,,,,ADJ,whitelist,high,"οἷος δ̓ ἀστὴρ εἶσι μετ̓ ἀστράσι νυκτὸς ἀμολγῷ ἕσπερος , ὃς κάλλιστος ἐν οὐρανῷ ἵσταται ἀστήρ , ὣς αἰχμῆς ἀπέλαμπ̓ εὐήκεος , ἣν ἄῤ Ἀχιλλεὺς πάλλεν δεξιτερῇ φρονέων κακὸν Ἕκτορι δίῳ εἰσορόων χρόα καλόν , ὅπῃ εἴξειε μάλιστα ."
22,337,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὸν δ̓ ὀλιγοδρανέων προσέφη κορυθαίολος Ἕκτωρ ·
22,355,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,τὸν δὲ καταθνῄσκων προσέφη κορυθαίολος Ἕκτωρ ·
22,393,HEKTOR,δῖον,δῖος,,,Achilles,Greeks,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἐπέφνομεν Ἕκτορα δῖον , ᾧ Τρῶες κατὰ ἄστυ θεῷ ὣς εὐχετόωντο . [0]"
22,395,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἦ ῥα , καὶ Ἕκτορα δῖον ἀεικέα μήδετο ἔργα ."
22,455,HEKTOR,θρασὺν,θρασύς,,,Andromache,servants,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἀλλὰ μάλ̓ αἰνῶς δείδω μὴ δή μοι θρασὺν Ἕκτορα δῖος Ἀχιλλεὺς μοῦνον ἀποτμήξας πόλιος πεδίον δὲ δίηται , καὶ δή μιν καταπαύσῃ ἀγηνορίης ἀλεγεινῆς ἥ μιν ἔχεσκ̓ , ἐπεὶ οὔ ποτ̓ ἐνὶ πληθυῖ μένεν ἀνδρῶν , ἀλλὰ πολὺ προθέεσκε , τὸ ὃν μένος οὐδενὶ εἴκων ."
22,471,HEKTOR,κορυθαίολος,κορυθαίολος,,,,,Nom,Sing,Masc,,,,ADJ,whitelist,high,"τῆλε δ̓ ἀπὸ κρατὸς βάλε δέσματα σιγαλόεντα , ἄμπυκα κεκρύφαλόν τε ἰδὲ πλεκτὴν ἀναδέσμην κρήδεμνόν θ̓ , ὅ ῥά οἱ δῶκε χρυσῆ Ἀφροδίτη ἤματι τῷ ὅτε μιν κορυθαίολος ἠγάγεθ̓ Ἕκτωρ ἐκ δόμου Ἠετίωνος , ἐπεὶ πόρε μυρία ἕδνα ."
23,24,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,ἦ ῥα καὶ Ἕκτορα δῖον ἀεικέα μήδετο ἔργα πρηνέα πὰρ λεχέεσσι Μενοιτιάδαο τανύσσας ἐν κονίῃς ·
23,183,HEKTOR,Πριαμίδην,Πριαμίδης,,,Achilles,Patroclus,Acc,Sing,Masc,,,,NOUN,whitelist,high,"Ἕκτορα δ̓ οὔ τι δώσω Πριαμίδην πυρὶ δαπτέμεν , ἀλλὰ κύνεσσιν . [0]"
24,22,HEKTOR,δῖον,δῖος,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,ὣς ὃ μὲν Ἕκτορα δῖον ἀείκιζεν μενεαίνων ·
24,50,HEKTOR,δῖον,δῖος,,,Apollo,gods,Acc,Sing,Masc,,,,ADJ,whitelist,high,"αὐτὰρ ὅ γ̓ Ἕκτορα δῖον , ἐπεὶ φίλον ἦτορ ἀπηύρα , ἵππων ἐξάπτων περὶ σῆμ̓ ἑτάροιο φίλοιο ἕλκει ·"
24,72,HEKTOR,θρασὺν,θρασύς,,,Zeus,Hera,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἀλλ̓ ἤτοι κλέψαι μὲν ἐάσομεν , οὐ δέ πῃ ἔστι , λάθρῃ Ἀχιλλῆος θρασὺν Ἕκτορα ·"
24,175,HEKTOR,δῖον,δῖος,,,Iris,Priam,Acc,Sing,Masc,,,,ADJ,whitelist,high,"λύσασθαί σ̓ ἐκέλευσεν Ὀλύμπιος Ἕκτορα δῖον , δῶρα δ̓ Ἀχιλλῆϊ φερέμεν τά κε θυμὸν ἰήνῃ οἶον , μὴ δέ τις ἄλλος ἅμα Τρώων ἴτω ἀνήρ ."
24,390,HEKTOR,δῖον,δῖος,,,Hermes-young man,Priam,Acc,Sing,Masc,,,,ADJ,whitelist,high,πειρᾷ ἐμεῖο γεραιὲ καὶ εἴρεαι Ἕκτορα δῖον .
24,509,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,"τὼ δὲ μνησαμένω ὃ μὲν Ἕκτορος ἀνδροφόνοιο κλαῖ̓ ἁδινὰ προπάροιθε ποδῶν Ἀχιλῆος ἐλυσθείς , αὐτὰρ Ἀχιλλεὺς κλαῖεν ἑὸν πατέῤ , ἄλλοτε δ̓ αὖτε Πάτροκλον · [0]"
24,593,HEKTOR,δῖον,δῖος,,,Achilles,Patroclus,Acc,Sing,Masc,,,,ADJ,whitelist,high,"μή μοι Πάτροκλε σκυδμαινέμεν , αἴ κε πύθηαι εἰν Ἄϊδός περ ἐὼν ὅτι Ἕκτορα δῖον ἔλυσα πατρὶ φίλῳ , ἐπεὶ οὔ μοι ἀεικέα δῶκεν ἄποινα . [0]"
24,657,HEKTOR,δῖον,δῖος,,,Achilles,Priam,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἀλλ̓ ἄγε μοι τόδε εἰπὲ καὶ ἀτρεκέως κατάλεξον , ποσσῆμαρ μέμονας κτερεϊζέμεν Ἕκτορα δῖον , ὄφρα τέως αὐτός τε μένω καὶ λαὸν ἐρύκω ."
24,660,HEKTOR,δίῳ,δῖος,,,Priam,Achilles,Dat,Sing,Masc,,,,ADJ,whitelist,high,"εἰ μὲν δή μ̓ ἐθέλεις τελέσαι τάφον Ἕκτορι δίῳ , ὧδέ κέ μοι ῥέζων Ἀχιλεῦ κεχαρισμένα θείης ."
24,724,HEKTOR,ἀνδροφόνοιο,ἀνδροφόνος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,τῇσιν δ̓ Ἀνδρομάχη λευκώλενος ἦρχε γόοιο Ἕκτορος ἀνδροφόνοιο κάρη μετὰ χερσὶν ἔχουσα ·
24,748,HEKTOR,φίλτατε,φίλτατος,,,Hecuba,Hector,Voc,Sing,Masc,,,,ADJ,whitelist,high,"Ἕκτορ ἐμῷ θυμῷ πάντων πολὺ φίλτατε παίδων , ἦ μέν μοι ζωός περ ἐὼν φίλος ἦσθα θεοῖσιν ·"
24,762,HEKTOR,φίλτατε,φίλτατος,,,Helena,Hector,Voc,Sing,Masc,,,,ADJ,whitelist,high,"Ἕκτορ ἐμῷ θυμῷ δαέρων πολὺ φίλτατε πάντων , ἦ μέν μοι πόσις ἐστὶν Ἀλέξανδρος θεοειδής , ὅς μ̓ ἄγαγε Τροίηνδ̓ ·"
24,786,HEKTOR,θρασὺν,θρασύς,,,,,Acc,Sing,Masc,,,,ADJ,whitelist,high,"ἀλλ̓ ὅτε δὴ δεκάτη ἐφάνη φαεσίμβροτος ἠώς , καὶ τότ̓ ἄῤ ἐξέφερον θρασὺν Ἕκτορα δάκρυ χέοντες , ἐν δὲ πυρῇ ὑπάτῃ νεκρὸν θέσαν , ἐν δ̓ ἔβαλον πῦρ ."
24,789,HEKTOR,κλυτοῦ,κλυτός,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,"ἦμος δ̓ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς , τῆμος ἄῤ ἀμφὶ πυρὴν κλυτοῦ Ἕκτορος ἔγρετο λαός ."
24,804,HEKTOR,ἱπποδάμοιο,ἱππόδαμος,,,,,Gen,Sing,Masc,,,,ADJ,whitelist,high,ὣς οἵ γ̓ ἀμφίεπον τάφον Ἕκτορος ἱπποδάμοιο .
