Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
1,285,1.285,ΑΓΑΜΕΜΝΩΝ,κρείων,,,τὸν δ’ ἀπαμειβόμενος προσέφη κρείων Ἀγαμέμνων·
1,292,1.292,ΑΧΙΛΛΕΥΣ,δῖος,,,τὸν δ’ ἄρ’ ὑποβλήδην ἠμείβετο δῖος Ἀχιλλεύς·
1,306,1.306,ΑΧΙΛΛΕΥΣ,Πηλεΐδης,,,Πηλεΐδης μὲν ἐπὶ κλισίας καὶ νῆας ἐΐσας
1,308,1.308,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,"Ἀτρεΐδης δ’ ἄρα νῆα θοὴν ἅλα δὲ προέρυσσεν,"
1,311,1.311,ΟΔΥΣΣΕΥΣ,πολύμητις,,,εἷσεν ἄγων· ἐν δ’ ἀρχὸς ἔβη πολύμητις Ὀδυσσεύς.
1,313,1.313,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,,,λαοὺς δ’ Ἀτρεΐδης ἀπολυμαίνεσθαι ἄνωγεν·
1,355,1.355,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,Achilles,Thetis,ἦ γάρ μ’ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων
1,355,1.355,ΑΓΑΜΕΜΝΩΝ,κρείων,Achilles,Thetis,ἦ γάρ μ’ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων
1,364,1.364,ΑΧΙΛΛΕΥΣ,ὠκὺς,,,τὴν δὲ βαρὺ στενάχων προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,364,1.364,ΑΧΙΛΛΕΥΣ,πόδας ὠκὺς,,,τὴν δὲ βαρὺ στενάχων προσέφη πόδας ὠκὺς Ἀχιλλεύς·
1,369,1.369,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδῃ,Achilles,Thetis,ἐκ δ’ ἕλον Ἀτρεΐδῃ Χρυσηΐδα καλλιπάρῃον.
1,378,1.378,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδῃ,Achilles,Thetis,"ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,"
1,411,1.411,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,Achilles,Thetis,γνῷ δὲ καὶ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων
1,411,1.411,ΑΓΑΜΕΜΝΩΝ,κρείων,Achilles,Thetis,γνῷ δὲ καὶ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων
1,440,1.440,ΟΔΥΣΣΕΥΣ,πολύμητις,,,τὴν μὲν ἔπειτ’ ἐπὶ βωμὸν ἄγων πολύμητις Ὀδυσσεὺς
1,442,1.442,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,Odysseus,Chryses,"ὦ Χρύση, πρό μ’ ἔπεμψεν ἄναξ ἀνδρῶν Ἀγαμέμνων"
1,489,1.489,ΑΧΙΛΛΕΥΣ,διογενὴς,,,διογενὴς Πηλῆος υἱὸς πόδας ὠκὺς Ἀχιλλεύς·
1,489,1.489,ΑΧΙΛΛΕΥΣ,ὠκὺς,,,διογενὴς Πηλῆος υἱὸς πόδας ὠκὺς Ἀχιλλεύς·
1,489,1.489,ΑΧΙΛΛΕΥΣ,πόδας ὠκὺς,,,διογενὴς Πηλῆος υἱὸς πόδας ὠκὺς Ἀχιλλεύς·
1,506,1.506,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,Thetis,Zeus,ἔπλετ’· ἀτάρ μιν νῦν γε ἄναξ ἀνδρῶν Ἀγαμέμνων
2,6,2.6,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδῃ,,,πέμψαι ἐπ’ Ἀτρεΐδῃ Ἀγαμέμνονι οὖλον ὄνειρον·
2,18,2.18,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδην,,,βῆ δ’ ἄρ’ ἐπ’ Ἀτρεΐδην Ἀγαμέμνονα· τὸν δὲ κίχανεν
2,169,2.169,ΟΔΥΣΣΕΥΣ,ἀτάλαντον,,,εὗρεν ἔπειτ’ Ὀδυσῆα Διὶ μῆτιν ἀτάλαντον
2,173,2.173,ΟΔΥΣΣΕΥΣ,διογενὲς,Athena,Odysseus,"διογενὲς Λαερτιάδη πολυμήχαν’ Ὀδυσσεῦ,"
2,173,2.173,ΟΔΥΣΣΕΥΣ,πολυμήχαν’,Athena,Odysseus,"διογενὲς Λαερτιάδη πολυμήχαν’ Ὀδυσσεῦ,"
2,220,2.220,ΟΔΥΣΣΕΥΣ,ἠδ’,,,ἔχθιστος δ’ Ἀχιλῆϊ μάλιστ’ ἦν ἠδ’ Ὀδυσῆϊ·
